Name,Average Distance Centrality,Closeness Centrality,Decay Centrality,Diffusion Degree Centrality,Geodestic K Path Centrality,Laplacian Centrality,Leverage Centrality,Lin Centrality,Eigenvector Centrality,Subgraph Centrality,Betweenness Centrality,Degree Centrality,Cluster,PC1,PC2
ORF74,2.5058823529411764,0.38967136150234744,17.0,62,79,0.027472527472526976,-0.04184622566975508,32.34272300469483,0.07627314354169974,68.44318177010041,0.009995455731416266,0.08433734939759037,0,-0.47157935181553406,0.3170981312862649
K4.1,2.4352941176470586,0.40096618357487923,17.4375,71,78,0.02527472527472478,-0.2779652605459057,33.28019323671498,0.09670529451847842,96.78467490980724,0.0035460521781415103,0.07228915662650603,0,-0.37559482949696155,0.5747508275059704
ORF45,2.1882352941176473,0.44623655913978494,20.4375,113,82,0.05164835164835149,-0.06532835356364768,37.03763440860215,0.1549475907960637,235.95866505749723,0.01840305282865516,0.10843373493975904,1,2.5074950625770134,0.4734892920048652
K4.2,3.376470588235294,0.289198606271777,9.625,7,40,0.002564102564102731,-0.7142857142857143,24.00348432055749,0.00818926586246994,2.420872454832468,0.0,0.012048192771084338,3,-6.375511406038682,-3.1719820643319996
ORF11,2.411764705882353,0.40487804878048783,17.75,58,81,0.02527472527472528,-0.07239623121976063,33.604878048780485,0.07478199494136213,58.8755217101662,0.02941140445471662,0.07228915662650603,0,-0.06089565666911524,0.5329302025389052
K5,2.552941176470588,0.3824884792626728,16.0625,43,76,0.01611721611721612,-0.8148148148148149,31.746543778801843,0.05896335672726705,34.54980864472639,0.00023053154113982798,0.024096385542168676,0,-2.2865802054803006,0.8587822751258971
ORF17,2.0823529411764707,0.4689265536723164,21.625,143,83,0.061538461538461216,0.05273473559918573,38.92090395480226,0.1943601959106036,370.5902962938215,0.026213032259713887,0.14457831325301207,1,4.215769896006086,0.09471140077458495
ORF30,2.541176470588235,0.38425925925925924,16.4375,49,76,0.01941391941391925,-0.37568922305764413,31.89351851851852,0.06468010234231267,44.830765518259746,0.0043964100582827995,0.04819277108433735,0,-1.5363038420636699,0.5139930176549327
ORF60,2.364705882352941,0.4129353233830846,18.375,86,81,0.032967032967032475,0.004712261422787734,34.27363184079602,0.11596982189521146,142.8379117091631,0.014340657004444375,0.10843373493975904,1,0.9428436778166207,0.3671803497310192
K7,2.588235294117647,0.37727272727272726,15.6875,45,76,0.016849816849816852,-0.825925925925926,31.313636363636363,0.06079533777451594,37.660228947481684,0.00016946908513173578,0.024096385542168676,0,-2.388068804384478,0.7497015019424925
K8,2.1058823529411765,0.46368715083798884,21.1875,104,82,0.0476190476190473,-0.1295059373703875,38.486033519553075,0.1275960951782656,158.91223602013545,0.0270457036728511,0.0963855421686747,1,2.4217081943994327,0.9359634440109926
ORF19,2.5176470588235293,0.3878504672897196,16.6875,51,80,0.02344322344322328,-0.07282913165266107,32.191588785046726,0.055866437058976454,39.05268998462502,0.022697051617856793,0.07228915662650603,0,-0.7708408304047486,0.3648710005833363
K9,2.2705882352941176,0.43005181347150256,19.875,94,79,0.047985347985347995,0.15395058158216052,35.69430051813472,0.12549354045447295,160.07079501741603,0.032905003712509005,0.12048192771084337,1,2.0227450992242892,-0.03427544048767739
ORF31,2.8705882352941177,0.3401639344262295,13.25,21,67,0.008058608058608226,-0.6515151515151515,28.233606557377048,0.023489377747852584,8.080871428424272,0.001200486750001884,0.024096385542168676,0,-3.9197345191672754,-0.41725808392644853
ORF37,2.588235294117647,0.37727272727272726,15.875,46,77,0.017582417582417586,-0.4214785214785215,31.313636363636363,0.057482519179615464,37.14541650108717,0.003948762081292203,0.04819277108433735,0,-1.8322987070305263,0.5230513972046393
ORF64,1.9058823529411764,0.5123456790123457,24.3125,172,82,0.10402930402930355,0.3035297551585097,42.52469135802469,0.22486456202139823,484.63914604931733,0.10167619708199653,0.1927710843373494,2,7.463704941606533,-1.421455480412843
ORF70,2.388235294117647,0.4088669950738916,18.0,79,81,0.030036630036629708,-0.09934640522875816,33.935960591133004,0.1079140264224214,123.58593535033813,0.005793068774261839,0.0963855421686747,1,0.4257373574016939,0.5921632590671383
ORF8,2.1882352941176473,0.44623655913978494,20.5625,111,80,0.04908424908424909,0.10534871919782404,37.03763440860215,0.14135332969041295,208.35569093045356,0.02769312138548332,0.13253012048192772,1,2.68160768997376,0.15837444630434044
ORF24,2.164705882352941,0.45108695652173914,20.6875,115,82,0.053113553113552286,-0.09550108932461873,37.44021739130435,0.15424177510906537,234.01427728719477,0.021981074272671187,0.10843373493975904,1,2.6466047711379512,0.4967121761380785
ORF38,2.6588235294117646,0.3672566371681416,15.125,38,75,0.015018315018314521,-0.5214285714285715,30.48230088495575,0.05296580913267636,30.463396510980697,0.0014079886222113664,0.03614457831325302,0,-2.442725906692728,0.37490767669178054
ORF4,2.0588235294117645,0.4742857142857143,22.0,127,83,0.06446886446886448,0.09424279987160311,39.36571428571428,0.16688734776346772,270.9480156766916,0.041639756439784716,0.13253012048192772,1,4.0278144273057315,0.2463243584973389
ORF57,2.447058823529412,0.39903846153846156,17.25,71,79,0.024542124542124046,-0.2779652605459057,33.12019230769231,0.09491909365832668,94.63247727758498,0.002372816875418387,0.07228915662650603,0,-0.4372302990140073,0.6373093323967619
ORF21,2.3529411764705883,0.415,18.1875,70,80,0.024908424908424747,-0.27231326548214596,34.445,0.09086800852801731,86.31046848802349,0.005259170069772344,0.07228915662650603,0,-0.05277427059576885,0.9501372213863634
ORF44,2.211764705882353,0.44148936170212766,20.25,96,81,0.04615384615384633,0.05519779841761266,36.6436170212766,0.12465801312157955,158.52341114239152,0.028423460871578498,0.10843373493975904,1,2.0877820644933878,0.43540630665592306
ORF43,2.8588235294117648,0.34156378600823045,13.34375,28,69,0.00842490842490776,-0.2837606837606838,28.349794238683128,0.02688925387373105,13.51104058283081,0.0004946615731217553,0.04819277108433735,0,-3.3076464955990614,-0.5069044529787262
ORF55,2.623529411764706,0.3721973094170404,15.4375,39,76,0.013919413919413922,-0.5852130325814536,30.89237668161435,0.042883124433639744,21.92956106295199,0.004018375530244853,0.03614457831325302,0,-2.398835618835835,0.562572415657571
ORF73,2.3529411764705883,0.415,18.125,66,83,0.02710622710622711,-0.39880952380952384,34.445,0.07807197222956276,65.33072827216186,0.006853142730546283,0.060240963855421686,0,-0.264154511065421,1.2746071017154392
ORF36,2.458823529411765,0.39712918660287083,17.5,73,79,0.02893772893772861,0.10454545454545455,32.961722488038276,0.09742279004253565,105.7896876180245,0.021000128088369298,0.10843373493975904,1,0.3719158148853741,-0.0015217017857603915
ORF17_pAP,2.3176470588235296,0.4213197969543147,19.125,83,81,0.0421245421245418,0.0887789661319073,34.96954314720812,0.10428052630938382,118.67508476477929,0.020349176371880506,0.10843373493975904,1,1.2553287475593475,0.39119731021303306
ORF35,2.7058823529411766,0.36086956521739133,14.375,27,77,0.010256410256410092,-0.7070707070707071,29.952173913043477,0.03604409588552497,15.258609622440675,0.0005666417582374093,0.024096385542168676,0,-3.07655843647513,0.6193966297307112
ORF67,2.4235294117647057,0.4029126213592233,17.75,64,79,0.027472527472527642,-0.2130952380952381,33.44174757281554,0.08086749100000587,69.31036447763793,0.009265101198689209,0.07228915662650603,0,-0.3443417707052709,0.6529753464870677
ORF68,2.541176470588235,0.38425925925925924,16.375,53,79,0.019780219780219616,-0.012037037037037032,31.89351851851852,0.05973482511652875,45.93341597697253,0.009268274355642531,0.08433734939759037,0,-0.8947129166461906,0.36061125585264386
ORF29,2.823529411764706,0.3458333333333333,13.9375,34,66,0.012087912087912423,-0.5222222222222223,28.704166666666666,0.03543417655138332,17.792647368222262,0.002702549352564046,0.03614457831325302,0,-3.346943875905836,-0.5661751790364893
ORF34,2.3058823529411763,0.42346938775510207,19.125,89,79,0.0388278388278385,-0.1474549001722915,35.14795918367347,0.11951068528505045,142.42967931618992,0.013003251287116192,0.08433734939759037,1,0.9695257463972491,0.5206040179718134
ORF6,2.4352941176470586,0.40096618357487923,17.5625,70,78,0.02527472527472561,-0.08326048951048952,33.28019323671498,0.0920390451507344,90.86599496817168,0.005611740171860135,0.08433734939759037,0,-0.15376716810681315,0.45160219613892355
ORF7,2.552941176470588,0.3824884792626728,16.5625,64,78,0.027106227106226278,0.20432692307692307,31.746543778801843,0.08252322789309748,83.36712405054374,0.012360524823360386,0.10843373493975904,0,-0.2212858142784241,-0.14115705628246641
ORF25,3.376470588235294,0.289198606271777,9.875,18,38,0.004761904761904929,-0.06666666666666667,24.00348432055749,0.011702742536924845,8.119843395990815,0.0,0.04819277108433735,3,-5.5082398764210785,-3.7351729901187833
